# number	english	chinese
154	aisle	通道；走道
155	alarm	警報；鬧鐘使驚慌不安；使恐懼
156	alert	使警覺；使注意警戒；警報警覺的；警惕的
157	align	排成直線；使結盟
158	alike	相同的；相像的一樣地；相似地
159	allege	斷言；宣稱
160	allegedly	據傳說；據宣稱
161	allergy	過敏症
162	alley	小巷；小徑
163	alliance	結盟；聯盟
164	allocate	分派；分配
165	allow	允許；准許
166	allowance	津貼；補貼
167	allure	引誘；誘惑誘惑力，魅力
168	almost	幾乎；差不多
169	along	沿著；順著向前；一起
170	already	已經；先前
171	alter	改變；修改
172	alternate	交替的；輪流的代理人；代替者
173	alternative	替代的；供選擇的選擇；二擇一
174	altogether	完全；全然
175	amateur	業餘的；外行的業餘；外行
176	amaze	使驚奇；使驚愕
177	ambiguous	含糊不清的；引起歧義的
178	ambition	雄心；抱負
179	amend	修訂；修改
180	amendment	改正；修正；修正案
181	amid	在⋯之間；被⋯包圍
182	among	在⋯之中；在⋯中間
183	amount	總數；總額共計；相當於
184	amplify	增強；擴大
185	amuse	使歡樂；使發笑
186	analyze	分析
187	angle	角；角度
188	animate	賦予生命；使有生命
189	anniversary	週年紀念週年的
190	announce	宣布；發布
191	announcement	通告；布告
192	annual	一年一次的；每年的
193	annually	每年；每年一次
194	anonymous	匿名的；姓氏不明的
195	another	又一；再一
196	answer	回答；答覆回答；答覆
197	antibiotic	抗生的；抗菌的抗生素；抗菌素
198	anxiety	焦慮；掛念
199	anxious	焦慮的；掛念的
200	any	任一；每一任何一個；任何人
201	apart	分開地；有距離地
202	apologetic	道歉的；認錯的
203	apology	道歉；陪罪
204	apparent	表面的；外觀的
205	apparently	顯然地；表面上
206	appeal	呼籲；懇求
207	appear	出現；顯露
208	appearance	出現；顯露
209	appetite	食慾；胃口
210	applaud	鼓掌歡迎；喝采
211	appliance	用具；裝置
212	applicant	申請人
213	apply	申請；請求
214	appoint	任命；指派
215	appraise	估計；估量
216	apprehend	逮捕；對⋯⋯擔慮
217	apprentice	徒弟；見習生
218	approach	接近；靠近
219	appropriate	適當的；恰當的
220	approval	批准；認可
221	approve	同意；贊許
222	approximate	接近的；大約的接近；近似
223	apt	易於⋯的；有⋯傾向的
224	architect	建築師；設計師
225	architecture	建築物；建築學；結構
226	archive	把⋯存檔；把⋯收集歸檔檔案保管處；文件；記錄
227	area	地區；區域
228	arena	圓形運動場；比賽場
229	argue	爭論；辯論；主張
230	argument	爭執；爭吵
231	arise	升起；上升；產生
232	around	到處；周圍圍繞；在⋯⋯附近
233	arouse	喚起；激動；使奮發
234	arrange	整理；安排；籌備
235	arrest	逮捕；拘留
236	arrival	到達；到來
237	arrive	到達；到來
238	articulate	清楚地講話；清晰地發音；明確有力地表達
239	artificial	人工的；人造的
240	ascend	登高；上升
241	assemble	集合；召集
242	assert	斷言；聲稱
243	assess	對⋯⋯進行估價；評價
244	assign	分配；分派
245	assignment	任務；工作
246	assimilate	被吸收；被消化
247	assist	幫助；協助
248	assistance	援助；幫助
249	associate	夥伴；同事夥伴的；共事的
250	association	協會；公會；聯盟
251	assume	以為；假定為
252	assurance	保證
253	assure	向⋯⋯保證；擔保
254	astonish	使吃驚；使驚訝
255	at	在⋯地點；在⋯時刻
256	ATM	自動存提款機 (= Automatic Teller Machine)
257	attach	附屬；附加
258	attachment	附屬物；附件
259	attain	達到；獲得成就，造詣
260	attempt	企圖；嘗試試圖；企圖
261	attend	出席；參加
262	attendance	到場；出席
263	attention	注意力；專心
264	attest	證實；證明
265	attorney	律師
266	attract	吸引；引起
267	attribute	把⋯歸因於；把⋯歸咎於
268	auction	拍賣拍賣
269	audience	聽眾；觀眾
270	audit	審計；查帳審計；查帳
271	auditory	耳朵的；聽覺的聽眾；禮堂
272	author	作者；作家
273	automatic	自動的；習慣性的
274	available	可用的；可利用的
275	avenue	大街；大道
276	average	平均；中等普通的；中等的平均分配；平均達到
277	avert	避開；移開
278	avoid	避開；躲開
279	avoidance	逃避；迴避
280	await	等候；期待
281	awareness	察覺；覺悟
282	bachelor	單身漢；學士
283	back	背部；後部倒退；後退向後；後退地後面的；後部的
284	backache	背痛；腰痛
285	backbone	脊骨；脊柱
286	backbreaking	非常辛勞的
287	backfire	引擎的逆火事與願違
288	background	背景；遠因
289	backlash	反衝；強烈反對；後座力
290	backlog	存貨；儲備金
291	backpack	登山、遠足用的背包
292	back-to-back	背靠背
293	backup	備用；備用物備用的備份
294	backward	向後的；反向的向後；倒
295	backyard	後院
296	bacteria	細菌
297	bad	壞的；不好的很；非常
298	badge	徽章；紀念章
299	badly	壞地；拙劣地
300	bad-tempered	情緒惡劣的；易怒的
301	baffle	使受挫折；阻撓困惑；障礙
302	baffling	令人困惑的；難對付的
303	bag	袋；提袋
304	baggage	行李
305	bail	保釋保釋；保釋金
306	bailout	跳傘；緊急（財政）援助
307	bait	餌；引誘物引誘；誘惑
308	bake	烘；烤；烘培
309	baker	麵包師：糕點師
310	bakery	麵包店；糕點店
311	balance	平衡；均衡使平衡
312	balcony	陽臺；露臺
313	bald	禿頭的；赤裸裸的
314	ball (party)	舞會
315	ballroom	跳舞的大廳
316	ban	禁止；禁令禁止；取締
317	band	帶；細繩；樂團
318	banish	流放；放逐
319	bank	銀行；堤；岸
320	bankbook	銀行存摺
321	bankcard	銀行信用卡
322	banker	銀行家
323	banking	銀行業務；銀行業
324	bankrupt	破產的使破產破產者
325	bankruptcy	破產；倒閉
326	banner	旗幟；橫幅
327	banquet	宴會；盛宴宴請
328	bar	棒；條；酒吧
329	bar code	條碼
330	barbecue	烤肉；燒烤烤肉；燒烤
331	bare	裸的；光禿禿的使赤裸；露出
332	barely	僅僅；勉強
333	bareness	赤裸；無遮蓋
334	bargain	協議；買賣討價還價
335	barren	不生育的；貧脊的瘠地；荒漠
336	barrier	障礙物；路障
337	bas	基；底；基部基本的；基礎的
338	baseline	基線；底線
339	basement	地下室；地下層
340	basic	基礎的；基本的基礎；基本原理
341	basically	在根本上
342	basis	基礎；根據
343	basket	籃；簍；筐
344	bat	球棒；球拍打；揮打
345	batch	一批生產量；一批
346	bath	浴缸；洗澡
347	bathe	浸入；浸洗
348	bathroom	浴室；化妝室
349	battery	電池；蓄電池
350	battle	搏鬥；奮爭戰鬥；戰役
351	bay	灣
352	be	是；等於正在⋯；在⋯
353	beach	海灘；海濱度假地
354	bearable	能耐的；忍得住的
355	bearer	持有人；挑夫；搬運工
356	bearing	舉止；體態；忍耐；忍受
357	beat	打；擊；敲敲打；敲擊聲筋疲力盡的；垂頭喪氣的
358	beaten	挨打的；被打敗的；筋疲力盡的
359	beautiful	漂亮的；出色的
360	beautify	使更加美麗；美化
361	beauty	美麗；美的事物
362	because	因為
363	become	變成；成為
364	becoming	合適的；適宜的形成；發生
365	bed	床；睡眠處睡；臥
366	bed and breakfast	夜宿兼次日早餐（縮寫為 B&B）
367	bedside	床邊；床側床旁的；臨床的
368	bedtime	就寢時間適於睡前的
369	begin	開始；著手
370	beginner	初學者；新手
371	beginning	開始；起始
372	behalf	代表；利益
373	behave	表現；行為舉止
374	behavior	行為；舉止
375	behavioral	行為的
376	behind	在背後在⋯⋯的後面背後
377	beholder	觀看者；旁觀者
378	beige	米色的米黃色
379	being	存在；生存
380	belated	誤期的；過時的
381	belief	相信；信任
382	believe	相信；信任
383	believer	信徒；信教者
384	bell	鐘；鈴鳴鐘
385	belly	腹；腹部鼓起；脹滿
386	belong	屬於；合適
387	belongings	財產；攜帶物品
388	beloved	心愛的；親愛的
389	below	在下面；到下面在⋯下面
390	belt	腰帶；皮帶用皮帶抽打；用帶捆住
391	bench	長凳；長椅
392	benchmark	水準點；基準
393	bend	彎曲；轉彎彎曲；轉彎處
394	beneath	在下；向下在⋯之下；向⋯下面
395	benefactor	捐助人；施主
396	beneficial	有益的；有利的
397	benefit	得益；受惠利益；好處
398	benignl	仁慈的；親切的
399	bent	彎曲的；決心的愛好；傾向
400	beside	在⋯旁；在旁邊
401	besides	此外；而且在⋯之外
402	bet	打賭打賭
403	betray	背叛；出賣
404	betrayal	背叛；密告
405	better	較佳的；更好的改善；改進
406	between	在中間；兩者之間在⋯之間
407	beverage	飲料
408	beware	注意；提防
409	beyond	在更遠處；往更遠處向⋯的那一邊；越過
410	bias	成見；偏心
411	bicycle	腳踏車；自行車
412	bid	命令；吩咐；出價
413	bidder	出價人；投標人
414	bilingual	雙語的
415	bill	帳單；票據；議案
416	billboard	廣告牌
417	billion	十億
418	bin	箱子；容器
419	bind	捆；綁
420	binding	裝訂；封皮黏合的；有約束力的
421	biological	生物的；生物學的
422	biology	生物學
423	birth	出生；誕生
424	birthday	生日
425	bit	小片；小塊；位元
426	bite	咬；啃
427	bitter	苦的；痛苦的
428	bizarre	奇異的；不尋常的；奇怪的
429	blame	責備；指責
430	bland	溫和的；淡而無味的
431	blank	空的；無內容的空白；空白處使模糊；刪去
432	blanket	毛毯；毯子
433	bleak	荒涼的；無遮蔽的
434	bleed	出血；流血
435	blend	使混雜；使交融混雜；交融
436	blender	攪拌機；混合器
437	blind	盲的；視而不見的；不願承認的
438	block	街區；障礙阻塞；堵住；封鎖
439	blockage	封鎖；妨礙
440	blood	血；血液
441	bloom	開花；開花期繁榮；興盛
442	blossom	開花；開花期開花；生長茂盛
443	blow	吹；吹奏
444	blunder	犯大錯；出漏子大錯
445	blur	使模糊不清；使朦朧模糊
446	board	木板；委員會；理事會
447	boardroom	會議室
448	boast	自吹自擂；誇耀
449	boat	小船
450	body	身體；肉體
451	boil	沸騰；烹煮
452	bold	無畏的；大膽的
453	bomb	炸彈；失敗轟炸；轟擊
454	bombard	砲擊；轟炸
455	bond	聯結；聯繫
456	bone	骨；骨頭
457	bonus	紅利；獎金
458	book	書；書籍
459	booklet	小冊子
460	bookshelf	書架；書櫃
461	bookstore	書店
462	boom	激增；繁榮迅速發展；興旺
463	boost	推動；幫助推動；促進
464	boot	靴子
465	booth	攤販；小隔間
466	border	邊緣；邊境毗鄰，接界
467	borderline	邊界；界線
468	boring	令人生厭的；乏味的
469	borrow	借用；借
470	boss	老闆；上司
471	bother	煩擾；打攪
472	bothersome	令人討厭的；麻煩的
473	bottle	瓶子
474	bottom	底部；下端
475	boulevard	大道
476	bounce	彈起；彈回
477	bound	跳躍；跳起
478	boundary	邊界；分界線
479	bow	弓
480	bowl	保齡球投：滾
481	box	箱；盒；匣
482	box office	售票處；票房
483	boycott	杯葛；聯合抵制杯葛；聯合抵制
484	brace	支柱；支撐物支撐；加固
485	bracket	托架；撐架
486	brain	智力，頭腦
487	brainstorm	集體研討；集思廣益
488	brake	煞車煞車
489	branch	樹枝；支流；分部；部門
490	brand	品牌；商標
491	brand-new	全新的；嶄新的
492	brave	勇敢的：英勇的
493	bravely	勇敢地：英勇地
494	bravo	喝采聲
495	breach	破壞，違反破壞，違反
496	bread	麵包
497	breadth	寬度；幅度
498	break	打破；折斷破損；休息；機會
499	breakable	會破的；脆的
500	breakdown	故障；損壞
501	breakfast	早餐
502	breakout	包圍突破
503	breakthrough	突破性進展；突破
504	breakup	中斷；中止
505	breathe	呼吸；呼氣
506	breathless	呼吸困難的；扣人心弦的
507	breathtaking	驚人的；令人屏息的
508	breeze	微風；和風
509	brick	磚；磚塊
510	bride	新娘
511	bridge	橋：橋墩
512	brief	簡短的；短暫的
513	briefcase	公事包
514	briefly	簡短地；短暫地
515	bright	發亮的；晴朗的
516	brighten	使明亮；使閃亮
517	brilliant	光輝的；明亮的
518	brisk	活潑的；生氣勃勃的
519	brittle	易碎的；敏感的；難相處的
520	broadcast	廣播；播送
521	brochure	小冊子
522	broker	代理人，中間人
523	brokered	以中間人等身分安排⋯⋯
524	browse	瀏覽；觀看
525	browser	瀏覽器
526	bruise	傷痕；青腫使受瘀傷，使青腫
527	brush	刷；刷洗刷子
528	brush-off	拒絕；不理睬
529	bruta	冷酷的；野蠻的
530	brutally	冷酷地；野蠻地
531	bubble	泡泡沸騰；冒泡
532	bucket	水桶；提桶
533	buckle	釦子；搭鉤扣住；扣緊
534	budge	微微移動；讓步
535	budget	預算；經費
536	build	建造；建立體格；體型
537	building	建築物；大樓
538	bulk	體積；容積大量的；大批的
539	business	商業；職業
540	businessman	商人
541	busy	忙碌的
542	button	鈕扣；按鈕
543	buy	買；購買
544	buyer	買主；買家
545	cab	計程車
546	cabin	客艙；駕駛艙
547	cabine	櫥；櫃
548	cable	纜；索
549	café	咖啡廳
550	cafeteria	自助餐廳
551	caffeine	咖啡因
552	calcium	鈣
553	calculate	計算；算
554	calculation	計算；估計
555	calculator	計算機
556	calendar	日曆
557	caliber	口徑；水準，程度
558	call	叫喊；呼叫呼叫；通話
559	caller	訪問者；探望者
560	calling	呼喊；召喚
561	calm	鎮靜的；沉著的使鎮定；使平靜
562	camera	照相機
563	camp	營地；帳篷紮營；宿營
564	campaign	競選；活動
565	campus	校園；校區
566	cancel	取消；廢除；中止
567	cancellation	取消
568	candid	公正的，公平的
569	candidate	候選人；候補者
570	capability	能力；才能
571	capable	有能力的；能幹的
572	capacity	容量；容積
573	capital	首都；資本
574	capitalization	資本化；資本額
575	capitalize	利用；供給（資本）
576	capture	捕獲；俘虜捕獲；俘虜
577	care	在乎：關心
578	career	職業；工作
579	careful	小心翼翼的；仔細的
580	carefully	小心翼翼地；仔細地
581	cargo	貨物
582	carpet	地毯
583	carrier	運送人；搬運人
584	carry	運載；搬運；支撐
585	carry out	實行；執行
586	cart	小車，手推車
587	carton	紙盒；紙板箱
588	case	盒；套
589	cash	現金；現款把⋯⋯兌現
590	cast	投；擲；拋投；班底；演員
591	catalog	目錄；目錄冊
592	categorize	將⋯分類
593	category	種類；部屬；類目
594	cater	提供飲食；承辦宴席
595	catering	承辦酒席；提供飲食及服務
596	cause	原因；起因導致；使發生
597	caution	小心；謹慎
598	cautious	十分小心的；謹慎的
599	central	中心的；中央的
600	century	世紀；一百年
601	ceremony	儀式；典禮
602	certain	確鑿的；無疑的
603	certainly	無疑地；必定
604	certificate	證明書；執照
605	certify	證明，證實
606	chain	鏈條；連鎖；連續
607	challenge	挑戰；提出異議
608	change	改變；更改變化；變更；零錢
609	changeable	易變的；不定的
610	chapter	篇章；篇
611	character	角色；性格；特性
612	characteristic	特有的；獨特的
613	characterize	具有⋯⋯的特徵；以⋯⋯為特徵
614	charge	控告；索價
615	chart	圖表；曲線圖
616	check	（美）檢查；支票；帳單
617	chef	廚師
618	cheque	（英）支票
619	choice	選擇；挑選
620	choose	選擇；挑選
621	chore	例行工作；家務活
622	circle	圓形的東西；圈畫圓圈；圈出；圍著
623	circumspect	慎重的；謹慎小心的
624	circumstance	情況；環境；情勢
625	circumvent	規避；防止⋯⋯發生
626	citation	引用；引證
627	citizen	市民；居民
628	citizenship	公民權；公民身分
629	city	城市；都市
630	civic	城市的；市民的
631	claim	主張；斷言；聲稱
632	clarify	澄清；闡明
633	clause	條款；款
634	clear	明亮的；顯然的清除；收拾
635	clearance	清除；清掃
636	clearly	顯然地；無疑地；明亮地
637	clerk	辦事員；職員
638	client	委託人；客戶
639	climate	氣候
640	climb	爬；攀爬
641	clip	剪；修剪剪；修剪
642	clock	時鐘
643	coach	教練訓練；指導
644	cognition	認知；知識
645	coherent	一致的；協調的
646	cohesive	凝聚性的；有結合力的
647	coin	硬幣
648	coincidence	巧合；符合
649	collaborate	合作；勾結
650	collaboration	合作；勾結
651	collateral	並行的；附屬的擔保品；抵押品
652	colleague	同事；同僚
653	collect	收集；採集
654	collectible	可收集的
655	collection	採集；收取
656	college	大學；學院
657	collide	碰撞；相撞
658	combination	結合；聯合
659	combine	結合；聯合
660	come	來；來到
661	come across	碰見；被理解
662	comfort	安慰；慰問安逸；舒適
663	comfortable	舒適的；舒服的
664	comforting	令人欣慰的
665	command	指揮；控制
666	comment	註釋；評論下評論
667	commentary	評論
668	commerce	商業；貿易
669	commercial	商業的；商務的廣告
670	commission	佣金；委任委任；委託
671	commit	犯（罪）；做（錯事等）
672	commitment	託付；交託
673	committed	忠誠的，堅定的
674	commodity	商品；日用品
675	common	普通的；常見的
676	communication	溝通；交流
677	commute	通勤；替代；代償
678	commuter	通勤者
679	company	陪伴；公司
680	comparatively	對比地；比較地
681	compare	比較；對照
682	comparison	比較；對照
683	compatible	能共處的；可並立的
684	compel	強迫；強求
685	compensate	補償；賠償
686	compensation	補償；賠償
687	compete	對抗；競爭
688	competent	有能力的；能勝任的
689	competition	比賽；競賽
690	competitive	競爭性的；好競爭的
691	competitor	競爭者；對手
692	complain	抱怨
693	complaint	抱怨
694	complete	競爭；比賽
695	completion	完成；結束
696	complex	複雜的；錯綜複雜的複合物；綜合體
697	compliant	順從的；應允的
698	complicate	使複雜化；使費解
699	complicated	複雜的；難懂的
700	compliment	稱讚：讚美稱讚：讚美
701	comply	依從；順從
702	component	構成要素；零件組成的；構成的
703	compose	作（詩，曲等）；使安定
704	composition	寫作；作曲
705	composure	平靜；鎮靜
706	comprehend	理解；了解
707	comprehensive	廣泛的；無所不包的
708	comprise	包含；包括
709	compromise	妥協；和解妥協；和解
710	compute	計算；估算
711	conceal	隱藏；隱瞞
712	conceive	想像；設想
713	concentrate	集中；聚集；全神貫注
714	concept	概念；觀念
715	concern	關於；涉及關心的事；關係
716	concerning	關於
717	conclude	結束；推斷出
718	conclusion	結論
719	concrete	有形的；實在的混凝土凝結；固結
720	concur	同意；一致
721	condition	情況；狀況
722	conduct	帶領；實施
723	conference	會議
724	confident	有自信的；確信的
725	confidential	祕密的；機密的
726	confirm	證實；確定
727	confirmation	確定；確證
728	confuse	使困惑；混淆
729	confusion	混亂；騷動
730	conscious	神志清醒的；有知覺的
731	consciously	有意識地；自覺地
732	consciousness	意念；意識
733	consecutive	連續不斷的；連貫的
734	consequently	結果；因此；必然地
735	conservative	保守的；守舊的保守者；守舊者
736	conserve	保存；保護
737	consider	考慮；細想
738	consideration	體貼；動機；原因
739	considering	就⋯⋯而論；考慮到各方面考慮起來
740	consist	組成；構成
741	consistency	一致；一貫
742	consistent	始終如一的；前後一致的
743	consistently	一貫地；固守地
744	constant	固定的；不變的
745	constrain	強迫；迫使
746	constraint	約束；限制
747	construction	建造；建設
748	consultancy	諮詢公司；顧問公司
749	consultant	顧問；諮詢者
750	consume	消耗；花費
751	consumer	消費者
752	consumption	消費
753	contact	接觸；交往；聯繫接觸的；接觸傳染的
754	contain	包含；容納
755	contemporary	當代的；同時代的
756	content	滿足滿足的；滿意的滿足
757	contest	競爭；角逐比賽
758	context	來龍去脈；背景
759	continue	繼續；持續
760	continuity	連續性；持續性
761	continuous	連續的；不斷的
762	contract	合約締結；承包
763	contractor	立契約者；承包人
764	contrary	相反的；對立的相反地；反對地
765	control	控制；支配支配；控制
766	controlling	管理的；控制的
767	convenience	便利；方便
768	convenient	便利的： 方便的
769	convention	會議；大會；集合
770	conventional	習慣的；慣例的
771	conversation	會話；對話
772	convey	告知；傳達
773	conviction	定罪；確信
774	convince	說服
775	cooperation	合作；協力
776	coordinate	協調；調節
777	cope	應付；處理
778	copy	抄寫；複製抄寫；副本
779	cordially	熱誠地；誠摯地
780	corner	角落
781	corporate	全體的；共同的企業；集團
782	correct	正確的；對的改正；糾正
783	corrupt	腐敗的，貪汙的墮落；腐化
784	corruption	墮落；腐化
785	cost	花費；付出費用；成本
786	council	會議；議事
787	counsel	商議；審議勸告；忠告
788	counter	反方向地，相反地相反的反對；反擊
789	couple	情侶；夫妻
790	coupon	贈券；減價優待券
791	courier	信差；導遊；情報員
792	course	路線；方向；課程；系列
793	court	法庭；法院
794	courteously	有禮貌地；親切地
795	courtesy	禮貌；殷勤
796	cover	遮蓋；覆蓋遮蓋物；封面
797	coverage	覆蓋；覆蓋範圍
798	crack	裂縫；裂痕裂開；爆裂
799	craft	工藝，手藝精巧地製作
800	crafted	製作的；工藝的
801	crane	鶴伸著脖子看
802	crash	碰撞；倒下墜毀，迫降
803	create	創造；製作
804	creation	作品；製作物
805	creative	有創意的：創新的
806	creativity	創意；創造力
807	creature	生物；動物
808	credential	憑據；證書
809	credible	可信的；可靠的
810	credit	賒帳；信譽；功勞相信；把⋯⋯歸於
811	creditor	債權人；貸方
812	crew	工作人員；船員
813	crime	犯罪；罪刑
814	criminal	罪犯犯罪的；犯法的
815	crisis	困難；危及
816	criterion	標準；準則
817	critic	評論家
818	critical	批判的；評論的
819	criticize	批判；評論
820	crop	作物：莊稼播種
821	cross	橫穿；渡過十字形；十字架
822	crowd	群眾；觀眾
823	crowded	擁擠的；滿的
824	crucial	重要的；嚴酷的
825	cruise	巡航；航遊巡航；航遊
826	cuisine	烹飪；烹調法；菜餚
827	cupboard	食櫥；碗櫃
828	cure	治療；痊癒治癒
829	curious	好奇的
830	currency	通貨；貨幣
831	current	現時的；當前的流動；水流
832	cushion	墊子；坐墊
833	custom	習俗；慣例訂做的；訂製的
834	customer	顧客；買主
835	customize	訂做；客製化
836	customs	關稅；海關
837	cutback	減少；剪修新芽
838	cycle	週期；循環循環；輪轉
839	daily	每日的；日常的
840	damage	損害；損失損害；毀壞
841	danger	危急；危險
842	dangerous	危險的
843	dare	敢；竟敢敢；膽敢果敢行為；挑戰
844	daring	大膽的；勇敢的
845	data	資料；數據
846	database	資料庫
847	dawn	黎明，拂曉破曉；（天）剛亮
848	day	一天；日；白天
849	daylight	日光；白晝
850	date	日期；日子註有日期
851	daytime	白天；白晝
852	dazzle	使目眩；使眼花耀眼；燦爛
853	deadline	截止期限；最後限期
854	deal	經營；交易交易
855	dealer	業者；商人
856	dealing	行為；商業往來
857	dean	教務長；學院院長
858	dear	親愛的；摯愛的
859	debatable	可爭辯的；可爭論的
860	debate	辯論；爭論辯論
861	debit	借方把⋯⋯記入借方
862	debt	債務；借款
863	debut	首次露面；初次登臺
864	decade	十；十年
865	decease	亡故死亡
866	deceit	欺騙；欺詐
867	deceitful	騙人的；欺詐的
868	deceive	欺騙；蒙蔽
869	decelerate	減緩；降低速度
870	deceleration	減速
871	decent	正派的；合乎禮儀的
872	decide	決定；決意
873	decipher	破解（密碼等）；解釋（古代文字等）
874	decision	決心；判斷
875	decisive	決定性的；決定的
876	deck	艙面；甲板
877	declaration	宣告；宣言
878	declare	宣告；聲明
879	decline	下降；下跌下降；減少
880	decode	譯解（密碼）
881	decrease	減；減少
882	dedicate	奉獻；獻身
883	dedication	奉獻；供奉
884	deduce	演繹；推論
885	deduct	扣除；減除
886	deduction	扣除；減除
887	deem	認為；以為
888	deep	深的深深地深處
889	deepen	使變深；使加深；使強烈
890	default	違約；拖欠；預設不履行；拖欠
891	defeat	戰勝；擊敗戰敗；挫折
892	defect	缺點；缺陷逃跑；脫離
893	defend	防衛；保護
894	defense	防衛；保護
895	defensive	防衛的；保衛的
896	deficiency	不足；缺乏
897	definite	明確的；確切的
898	deflate	抽出⋯⋯中的氣
899	deflect	使偏斜；使轉向
900	defy	公然反抗；蔑視
901	degree	度，度數；程度
902	delay	拖延；耽擱延遲；耽擱
903	delegate	委派⋯⋯為代表；委派（某人）做
904	deliberate	深思熟慮的；慎重的仔細考慮；思考
905	deliberately	慎重地；謹慎地
